year,international,financial_aid,SA
2024,No,Yes,0
2021,No,Yes,0.996120691
2021,No,No,-0.839135885
2024,Yes,Yes,0
2022,No,Yes,0
2023,No,No,0
2024,No,No,0
2024,No,No,0.99924469
2023,No,No,-0.999460757
2023,No,Yes,-0.991248846
2021,Yes,Yes,0
2021,No,Yes,0
2023,No,No,0
2023,No,Yes,0
2024,No,Yes,0.986903608
2021,No,Yes,0
2021,Yes,Yes,0.931717396
2024,No,Yes,0
2023,No,Prefer not to say,-0.999271274
2023,Yes,No,0
2021,No,Yes,-0.998950899
2024,No,Yes,0
2024,No,Yes,0
2022,No,Yes,-0.99980402
2022,No,Yes,0.999613941
2022,No,Yes,-0.99123466
2024,No,No,-0.99280417
2023,Yes,Yes,0
2024,No,Yes,0
2021,No,Yes,-0.998686731
2023,No,Yes,-0.999732077
2023,No,Yes,0
2022,No,No,0.923199534
2021,Yes,Yes,0
2024,No,No,0
2023,No,Yes,-0.99950397
2024,No,Yes,0.99810499
2022,Yes,No,0
2024,No,Yes,0
2023,Yes,Yes,-0.993841529
2024,No,Yes,-0.982778549
2024,No,Yes,-0.722811997
2021,No,No,0
2022,No,Yes,0
2024,No,Yes,0
2021,No,Yes,0
2022,No,Yes,0
2024,No,Yes,-0.998781383
2023,No,No,0
2021,No,No,0
2022,No,Yes,-0.999794126
2023,No,Yes,0
2023,Yes,Yes,0
2021,Yes,Yes,0
2022,No,Yes,0
2021,No,Yes,0
2024,No,No,0
2021,Yes,Yes,0
2021,No,No,0
2022,No,Yes,0
2024,No,No,0
2021,No,Yes,0
2024,No,No,0
2023,No,No,0
2024,No,Prefer not to say,0
2022,Yes,Yes,-0.999708831
2022,No,No,-0.999734044
2021,Yes,No,0
2023,No,Yes,-0.945831656
2021,No,Yes,0
2024,No,Yes,-0.905570447
2024,No,Yes,0.999687672
2021,No,No,-0.993928671
2024,No,Yes,0
2024,Yes,No,0
2024,No,Yes,0
2024,Yes,No,-0.98061794
2024,No,No,0
2022,No,No,0
2024,No,Yes,0.99981606
2024,Yes,Yes,0
2023,No,No,-0.997274458
2021,No,No,-0.999716043
2023,No,No,-0.999818087
2024,No,No,0
2023,No,No,0
2022,Yes,Yes,-0.999495625
2024,No,Yes,0
2024,No,No,0
2022,Yes,No,-0.999129653
2024,No,Yes,-0.998613954
2021,No,Yes,0
2022,No,Yes,0
2023,No,No,0
2023,No,Yes,0
2021,No,No,0
2022,No,Yes,0
2024,No,Yes,-0.79003942
2023,No,Yes,0
2024,No,No,0
2023,No,No,0
2021,No,Yes,0
2021,No,No,-0.999470592
2024,No,No,0
2022,No,Yes,0.996585071
2023,No,Yes,-0.999242127
2022,Yes,No,-0.999770045
2024,No,Yes,0.999833286
2024,No,Yes,0
2022,No,Yes,0
2024,No,Yes,-0.996824145
2021,No,No,0
2021,No,Yes,0
2021,No,No,0
2024,No,No,0
2023,No,No,-0.999790609
2024,No,Yes,-0.96673286
2021,No,No,-0.999456584
2022,No,Yes,-0.994718492
2022,No,No,-0.968595386
2023,No,Yes,0
2022,No,Yes,0.743402839
2022,No,Yes,0
2024,No,No,-0.992613494
2024,No,No,0.99981606
2024,No,Yes,0.989168406
2024,No,Yes,0
2024,No,No,0.995807767
2024,No,No,-0.998992562
2024,No,No,-0.998675883
2024,No,Yes,0.999790967
2021,No,Yes,0
2021,No,No,-0.997624576
2022,No,No,-0.999511003
2023,No,No,0
2024,No,No,-0.99832952
2024,No,Yes,0
2022,No,No,0
2023,No,No,0
2021,Yes,Yes,0
2023,No,Yes,-0.998672843
2022,No,Yes,-0.871326804
2024,No,Yes,0.999661446
2023,No,Yes,0
2021,No,No,0
2022,No,Yes,0
2021,No,No,0.99521172
2024,No,Yes,-0.99941355
