year,international,financial_aid,enroll,allowed_return,petition,on_campus,location_off_campus,semesters_off,semester_off_plans,enroll_percent_1,enroll_percent_2,on_campus_percent_1,opinion_eligibility,opinion_precautions,percent_infected_1,address_concerns_1,address_concerns_2,address_concerns_3,address_concerns_4,address_concerns_5,address_concerns_6,support_financial_ai,rating_overall_1,other_school,other_school_23_TEXT
2023,No,No,Extremely likely,Extremely unlikely,No,,Family Home,,,70,60,17,Allows too few students back on campus,Too many precautionary measures taken,10,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Agree with the policy,4,Princeton,
2023,No,Prefer not to say,Extremely likely,Extremely unlikely,No,,Family Home,,,85,80,45,Just right,Just right,25,Very well,Very well,Very well,Very well,Very well,Very well,Agree with the policy,9,Don't know enough to say,
2023,No,Yes,Somewhat unlikely,Extremely unlikely,No,,Other,"Fall, and maybe Spring depending on policy",Internship/Industry Work,70,60,40,Just right,Just right,30,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Very poorly ,Somewhat poorly ,Policy is not individualized enough,7,Don't know enough to say,
2022,No,No,Extremely unlikely,,,,,Fall and Spring,Research,90,90,40,Just right,Don't know enough to say,5,Somewhat well,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,"Not enough money provided to off-campus students,Policy is not individualized enough",7,MIT,
2022,No,Yes,Extremely likely,Somewhat unlikely,No,,Family Home,,,81,65,25,Allows too few students back on campus,Too many precautionary measures taken,23,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,"Not enough money provided to off-campus students,Policy is not individualized enough",5,Yale,
2024,No,No,Extremely likely,,,Extremely likely,,,,39,67,67,Allows too few students back on campus,Too many precautionary measures taken,22,Somewhat well,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Somewhat well,Policy is not individualized enough,4,Princeton,
2024,No,Yes,Extremely likely,,,Extremely likely,,,,61,95,14,Allows too few students back on campus,Just right,25,Somewhat well,Very well,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Very well,"Not enough money provided to off-campus students,Policy is not individualized enough",6,Don't know enough to say,
2021,No,Yes,Extremely likely,Somewhat unlikely,No,,Living with Harvard friends,,,85,90,20,Allows too few students back on campus,Just right,10,Somewhat well,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Very well,Agree with the policy,6,Don't know enough to say,
2022,Yes,No,Somewhat unlikely,Somewhat unlikely,Yes,,Living with Harvard friends,Fall and Spring,Research,70,50,20,Allows too few students back on campus,Too many precautionary measures taken,65,Somewhat poorly ,Somewhat poorly ,Very poorly ,Somewhat poorly ,Very poorly ,Somewhat well,Policy is not individualized enough,3,Cornell,
2023,No,Yes,Extremely unlikely,,,,,Fall and Spring,Internship/Industry Work,70,70,35,Allows too few students back on campus,Just right,20,Very poorly ,Very poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Very poorly ,Not enough money provided to off-campus students,2,Don't know enough to say,
2022,No,No,Extremely unlikely,,,,,Fall and Spring,Internship/Industry Work,70,60,50,Allows too few students back on campus,Don't know enough to say,50,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Not enough money provided to off-campus students,3,Other (please specify),Brown
2023,No,Yes,Extremely likely,Extremely unlikely,No,,Family Home,,,50,50,30,Allows too few students back on campus,Don't know enough to say,4,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,"Not enough money provided to off-campus students,Policy is not individualized enough",6,Don't know enough to say,
2021,No,Yes,Extremely unlikely,,,,,Fall and Spring,Travel,60,60,40,Just right,Just right,5,Somewhat well,Very poorly ,Somewhat well,Somewhat poorly ,Very poorly ,Somewhat poorly ,"Not enough money provided to off-campus students,Policy is not individualized enough",7,Duke,
2024,No,No,Somewhat likely,,,Somewhat likely,,Fall only,Internship/Industry Work,82,83,34,Allows too few students back on campus,Too many precautionary measures taken,20,,,,,,,,4,Other (please specify),Carnegie Mellon
2023,No,Yes,Extremely likely,Somewhat unlikely,No,,Family Home,,,70,30,21,Allows too few students back on campus,Too many precautionary measures taken,8,Very well,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Somewhat well,Policy is not individualized enough,1,Princeton,
2024,No,Yes,Extremely likely,,,Extremely likely,,,,90,90,93,Allows too few students back on campus,Too many precautionary measures taken,30,Somewhat well,Somewhat poorly ,Very poorly ,Very poorly ,Somewhat well,Somewhat well,Agree with the policy,5,Dartmouth,
2022,Yes,No,Extremely unlikely,,,,,Longer,Chill at home,2,2,1,Don't know enough to say,Don't know enough to say,100,Very well,Very well,Very poorly ,Very well,Very well,,,1,,
2024,No,Yes,Extremely likely,,,Extremely likely,,,,85,95,40,Allows too few students back on campus,Too many precautionary measures taken,15,Somewhat well,Somewhat poorly ,Very poorly ,Very poorly ,Somewhat poorly ,Very well,Agree with the policy,6,Cornell,
2021,No,No,Extremely unlikely,,,,,"Fall, and maybe Spring depending on policy",Internship/Industry Work,80,60,30,Allows too few students back on campus,Too many precautionary measures taken,25,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Policy is not individualized enough,2,Other (please specify),Literally any other
2021,No,Yes,Extremely likely,Extremely unlikely,No,,Family Home,,,70,70,45,"Number is just right, but it should be a different cohort in the Fall",Too many precautionary measures taken,20,Very poorly ,Somewhat poorly ,Somewhat poorly ,Very poorly ,Very poorly ,Somewhat poorly ,"Not enough money provided to off-campus students,Policy is not individualized enough",6,Don't know enough to say,
2024,No,Yes,Extremely likely,,,Extremely likely,,,,67,97,32,Just right,Too many precautionary measures taken,2,Somewhat well,Somewhat well,Somewhat poorly ,Somewhat poorly ,Somewhat well,Very well,"Not enough money provided to off-campus students,Policy is not individualized enough,Agree with the policy",6,Dartmouth,
2021,No,No,Somewhat likely,Extremely unlikely,No,,Family Home,Fall only,Research,80,65,35,Allows too few students back on campus,Don't know enough to say,5,Very poorly ,Very poorly ,Somewhat poorly ,Very poorly ,Somewhat poorly ,Very well,Policy is not individualized enough,6,Yale,
2023,No,No,Extremely unlikely,,,,,Fall and Spring,Travel,52,37,34,Allows too few students back on campus,Don't know enough to say,63,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Not enough money provided to off-campus students,4,Princeton,
2022,No,Yes,Extremely likely,Extremely unlikely,No,,Family Home,,,80,70,5,Just right,Don't know enough to say,10,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,"Not enough money provided to off-campus students,Policy is not individualized enough",7,Don't know enough to say,
2024,No,Yes,Somewhat likely,,,Somewhat likely,,Fall and Spring,Internship/Industry Work,80,60,77,Allows too few students back on campus,Don't know enough to say,30,Very well,Somewhat poorly ,Very poorly ,Very poorly ,Somewhat poorly ,Somewhat well,"Not enough money provided to off-campus students,Policy is not individualized enough",3,Cornell,
2023,No,Yes,Somewhat likely,Somewhat unlikely,Yes,,Living with Harvard friends,"Fall, and maybe Spring depending on policy",Internship/Industry Work,61,61,40,Don't know enough to say,Don't know enough to say,28,Somewhat well,Somewhat poorly ,Somewhat well,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,"Not enough money provided to off-campus students,Agree with the policy",5,Northeastern,
2023,No,Yes,Extremely likely,Somewhat likely,Yes,Extremely likely,Personal Apartment/Home (not with Harvard friends),,,62,47,55,Allows too few students back on campus,Just right,29,Somewhat well,Somewhat poorly ,Very poorly ,Very poorly ,Very poorly ,Somewhat poorly ,Policy is not individualized enough,3,Other (please specify),Brown
2024,No,Yes,Somewhat likely,,,Somewhat likely,,Fall and Spring,Travel,81,67,40,Allows too few students back on campus,Too many precautionary measures taken,4,Somewhat poorly ,Somewhat poorly ,Very poorly ,Very poorly ,Very poorly ,Somewhat well,Not enough money provided to off-campus students,2,Cornell,
2023,No,No,Extremely unlikely,,,,,"Fall, and maybe Spring depending on policy",Volunteering,85,70,38,Don't know enough to say,Don't know enough to say,30,Very poorly ,Very poorly ,Somewhat poorly ,Very poorly ,Very poorly ,Very poorly ,Policy is not individualized enough,5,Yale,
2022,No,No,Extremely likely,Extremely unlikely,No,,Family Home,,,55,65,17,"Number is just right, but it should be a different cohort in the Fall",Just right,52,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,,9,MIT,
2023,No,Yes,Extremely likely,Extremely unlikely,No,,Family Home,,,80,85,30,Don't know enough to say,Don't know enough to say,5,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Very poorly ,Very poorly ,Very well,Agree with the policy,6,Other (please specify),Tufts
2023,No,No,Somewhat unlikely,Extremely unlikely,No,,Personal Apartment/Home (not with Harvard friends),"Fall, and maybe Spring depending on policy",Research,81,85,34,Allows too few students back on campus,Too many precautionary measures taken,96,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Somewhat poorly ,Not enough money provided to off-campus students,1,Cornell,
2021,No,No,Somewhat unlikely,Extremely unlikely,No,,Living with Harvard friends,Fall only,Travel,59,80,26,"Number is just right, but it should be a different cohort in the Fall",Just right,10,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Very poorly ,Very poorly ,Somewhat well,"Not enough money provided to off-campus students,Policy is not individualized enough",4,Yale,
2023,No,Yes,Somewhat unlikely,Extremely unlikely,No,,Family Home,"Fall, and maybe Spring depending on policy",Internship/Industry Work,75,75,40,Allows too few students back on campus,Don't know enough to say,30,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Policy is not individualized enough,3,Don't know enough to say,
2024,No,Yes,Somewhat likely,,,Extremely likely,,"Fall, and maybe Spring depending on policy",Volunteering,65,75,64,Don't know enough to say,Too many precautionary measures taken,20,Somewhat well,Somewhat poorly ,Very poorly ,Very poorly ,Somewhat well,Somewhat well,Policy is not individualized enough,5,Duke,
2024,Yes,No,Extremely likely,,,Extremely likely,,,,85,65,75,Allows too few students back on campus,Too many precautionary measures taken,19,Somewhat well,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat well,Agree with the policy,6,MIT,
2021,No,Prefer not to say,Extremely unlikely,,,,,Fall only,Internship/Industry Work,75,40,40,Don't know enough to say,Too many precautionary measures taken,5,Somewhat poorly ,Somewhat poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Not enough money provided to off-campus students,3,Other (please specify),Norte dame
2021,No,No,Extremely likely,Extremely unlikely,No,,Living with Harvard friends,,,90,95,40,Don't know enough to say,Don't know enough to say,2,Somewhat well,Somewhat well,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Very well,Agree with the policy,8,MIT,
2021,No,No,Extremely unlikely,,,,,"Fall, and maybe Spring depending on policy",Other,65,55,30,Allows too few students back on campus,Too many precautionary measures taken,20,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Somewhat well,"Not enough money provided to off-campus students,Policy is not individualized enough",3,Don't know enough to say,
2023,No,No,Extremely unlikely,,,,,Fall and Spring,Internship/Industry Work,83,70,41,Don't know enough to say,Just right,30,Very poorly ,Very poorly ,Somewhat poorly ,Very poorly ,Very poorly ,Somewhat poorly ,Policy is not individualized enough,5,Yale,
2023,Yes,No,Somewhat likely,Somewhat likely,Yes,Somewhat unlikely,Living with Harvard friends,"Fall, and maybe Spring depending on policy",Research,60,70,30,Don't know enough to say,Just right,33,Somewhat poorly ,Very poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,"Not enough money provided to off-campus students,Policy is not individualized enough",8,Yale,
2024,No,Yes,Extremely likely,,,Extremely likely,,,,50,72,80,Just right,Too many precautionary measures taken,4,Somewhat well,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat well,Very well,Agree with the policy,8,MIT,
2024,Yes,No,Extremely likely,,,Somewhat likely,,,,71,95,13,"Number is just right, but it should be a different cohort in the Fall",Too few precautionary measures taken,65,Somewhat well,Somewhat poorly ,Somewhat poorly ,Very poorly ,Very poorly ,Somewhat poorly ,Not enough money provided to off-campus students,2,Don't know enough to say,
2024,No,No,Extremely likely,,,Extremely likely,,,,76,70,75,Allows too few students back on campus,Too many precautionary measures taken,30,Very well,Somewhat well,Somewhat poorly ,Somewhat poorly ,Very poorly ,Somewhat poorly ,"Policy is not individualized enough,Agree with the policy",4,Duke,
2022,No,No,Extremely unlikely,,,,,"Fall, and maybe Spring depending on policy",Internship/Industry Work,50,50,32,Allows too few students back on campus,Too many precautionary measures taken,10,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Somewhat poorly ,Agree with the policy,2,Yale,
2023,Yes,Yes,Extremely unlikely,,,,,"Fall, and maybe Spring depending on policy",Other,74,61,68,Allows too few students back on campus,Just right,8,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Somewhat poorly ,Policy is not individualized enough,2,Other (please specify),Brown
2021,No,Yes,Extremely unlikely,,,,,Fall only,Research,40,20,50,Allows too few students back on campus,Too many precautionary measures taken,20,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,"Not enough money provided to off-campus students,Policy is not individualized enough",1,Yale,
2022,No,No,Extremely unlikely,,,,,"Fall, and maybe Spring depending on policy",Chill at home,60,30,68,Allows too many students back on campus,Just right,40,Very poorly ,Very poorly ,Somewhat poorly ,Very poorly ,Very poorly ,Somewhat well,Not enough money provided to off-campus students,5,Stanford,
2022,No,No,Extremely unlikely,,,,,"Fall, and maybe Spring depending on policy",Other,51,30,72,Just right,Just right,20,Somewhat poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Somewhat well,Policy is not individualized enough,8,Don't know enough to say,
2023,No,No,Extremely unlikely,,,,,Fall and Spring,Research,72,51,40,Allows too few students back on campus,Just right,20,Somewhat poorly ,Very poorly ,Very poorly ,Very poorly ,Somewhat poorly ,Very poorly ,Not enough money provided to off-campus students,3,Other (please specify),Brown
2023,No,Yes,Extremely likely,Extremely unlikely,No,,Family Home,,,66,60,33,"Number is just right, but it should be a different cohort in the Fall",Just right,35,Somewhat well,Very poorly ,Somewhat poorly ,Very poorly ,Very poorly ,Somewhat well,Not enough money provided to off-campus students,4,Yale,
2023,No,No,Somewhat likely,Extremely unlikely,No,,Family Home,"Fall, and maybe Spring depending on policy",Internship/Industry Work,80,80,10,"Number is just right, but it should be a different cohort in the Fall",Don't know enough to say,15,Somewhat poorly ,Very poorly ,Somewhat well,Very poorly ,Very poorly ,Somewhat well,Policy is not individualized enough,5,Other (please specify),Brown
2021,Yes,Yes,Extremely unlikely,,,,,Fall and Spring,Internship/Industry Work,50,60,40,Don't know enough to say,Don't know enough to say,1,Very poorly ,Very poorly ,Somewhat poorly ,Very poorly ,Very poorly ,Very poorly ,Policy is not individualized enough,5,Princeton,
2021,No,Prefer not to say,Somewhat unlikely,,No,,Family Home,Fall only,Internship/Industry Work,,,,Don't know enough to say,Don't know enough to say,,,,,,,,,5,Yale,
2021,No,Yes,Somewhat unlikely,Extremely unlikely,Yes,,Family Home,Fall and Spring,Internship/Industry Work,83,61,5,"Number is just right, but it should be a different cohort in the Fall",Don't know enough to say,5,Somewhat poorly ,Very poorly ,Somewhat well,Very poorly ,Very poorly ,Very poorly ,Policy is not individualized enough,5,Don't know enough to say,
2023,No,Prefer not to say,Extremely likely,Extremely unlikely,No,,Family Home,,,80,65,10,Allows too few students back on campus,Too many precautionary measures taken,3,Somewhat poorly ,Somewhat well,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat well,Agree with the policy,4,Yale,
2024,No,No,Extremely likely,,,Extremely likely,,,,80,80,64,Allows too few students back on campus,Too many precautionary measures taken,5,Somewhat well,Somewhat well,Very poorly ,Somewhat poorly ,Somewhat poorly ,Very well,Agree with the policy,6,Duke,
2024,No,Yes,Somewhat likely,,,Extremely likely,,,,80,71,40,"Number is just right, but it should be a different cohort in the Fall",Too many precautionary measures taken,10,Somewhat poorly ,Somewhat poorly ,Very poorly ,Very poorly ,Very poorly ,Somewhat poorly ,Policy is not individualized enough,4,Other (please specify),Brown
2024,No,Yes,Extremely likely,,,Extremely likely,,,,53,95,35,"Number is just right, but it should be a different cohort in the Fall",Just right,20,Somewhat poorly ,Somewhat poorly ,Very poorly ,Very poorly ,Very poorly ,Somewhat well,"Policy is not individualized enough,Agree with the policy",7,Don't know enough to say,
2024,No,No,Extremely likely,,,Extremely likely,,,,80,78,95,Allows too few students back on campus,Don't know enough to say,10,Somewhat well,Somewhat well,Somewhat poorly ,Somewhat well,Somewhat poorly ,Very well,Agree with the policy,6,Don't know enough to say,
2022,No,No,Extremely unlikely,,,,,"Fall, and maybe Spring depending on policy",Internship/Industry Work,75,70,38,Allows too few students back on campus,Just right,7,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Very poorly ,Somewhat poorly ,Very poorly ,Policy is not individualized enough,8,,
2021,No,Yes,Extremely likely,Somewhat likely,Yes,Extremely likely,Living with Harvard friends,,,90,85,40,Allows too few students back on campus,Don't know enough to say,25,Somewhat well,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat well,Not enough money provided to off-campus students,7,Yale,
2021,No,Yes,Extremely likely,Extremely unlikely,No,,Family Home,,,67,82,32,Just right,Just right,24,,,,,,,,5,Don't know enough to say,
2023,No,Yes,Extremely likely,Somewhat unlikely,No,,Living with Harvard friends,,,70,65,60,Allows too few students back on campus,Too many precautionary measures taken,20,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Not enough money provided to off-campus students,1,Duke,
2022,No,No,Extremely unlikely,,,,,"Fall, and maybe Spring depending on policy",Internship/Industry Work,60,60,30,Allows too few students back on campus,Too many precautionary measures taken,20,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Policy is not individualized enough,1,Yale,
2024,No,No,Extremely likely,,,Extremely likely,,,,78,83,40,Don't know enough to say,Don't know enough to say,5,Somewhat well,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Very poorly ,Somewhat poorly ,,5,Other (please specify),Williams College
2021,No,No,Extremely likely,Somewhat unlikely,No,,Living with Harvard friends,,,50,75,50,Allows too few students back on campus,Just right,35,,,,,,,"Policy is not individualized enough,Agree with the policy",,Yale,
2021,No,No,Extremely likely,Extremely likely,Yes,Somewhat likely,,,,50,60,45,Allows too few students back on campus,Just right,71,Very poorly ,Very poorly ,Somewhat poorly ,Very poorly ,Very poorly ,Somewhat poorly ,"Not enough money provided to off-campus students,Policy is not individualized enough",1,Other (please specify),Brown
2022,No,No,Extremely likely,Extremely unlikely,No,,Personal Apartment/Home (not with Harvard friends),,,65,69,26,Allows too few students back on campus,Too many precautionary measures taken,0,Somewhat poorly ,Very poorly ,Somewhat poorly ,Somewhat poorly ,Very poorly ,Somewhat poorly ,Policy is not individualized enough,3,Yale,
2023,No,Yes,Somewhat likely,Somewhat unlikely,No,,Personal Apartment/Home (not with Harvard friends),Fall and Spring,Other,90,85,30,Allows too few students back on campus,Don't know enough to say,4,Very poorly ,Very poorly ,Somewhat well,Very poorly ,Very poorly ,Somewhat poorly ,"Not enough money provided to off-campus students,Policy is not individualized enough",3,Don't know enough to say,
2021,No,No,Extremely unlikely,,,,,Fall and Spring,Internship/Industry Work,66,50,40,Allows too few students back on campus,Too many precautionary measures taken,80,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Somewhat poorly ,Not enough money provided to off-campus students,1,Cornell,
2021,No,Prefer not to say,Somewhat likely,Extremely unlikely,No,,Family Home,,,30,30,40,Allows too few students back on campus,Too many precautionary measures taken,25,Somewhat poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Somewhat well,Policy is not individualized enough,5,Yale,
